p0,T,Iter,p,Estimator,Expected_Tau
8,480,0,8,Geom-BMA,0.2
8,480,0,9,Joint-BMA,0.2
8,480,0,9,Geom-BMA,0.20000000000000004
8,480,0,10,Joint-BMA,0.2
8,480,0,10,Geom-BMA,0.2
8,480,0,11,Joint-BMA,0.2
8,480,0,11,Geom-BMA,0.2
8,480,0,12,Joint-BMA,0.2
8,480,1,8,Joint-BMA,0.27403440520216843
8,480,1,8,Geom-BMA,0.27403440520216843
8,480,1,9,Joint-BMA,0.23436874318757636
8,480,1,9,Geom-BMA,0.2343687431875764
8,480,1,10,Joint-BMA,0.2114296803678941
8,480,1,10,Geom-BMA,0.2
8,480,1,11,Joint-BMA,0.2167225711639302
8,480,1,11,Geom-BMA,0.2
8,480,1,12,Joint-BMA,0.2115623405909607
8,480,1,12,Geom-BMA,0.2
8,600,0,8,Joint-BMA,0.35
8,600,0,8,Geom-BMA,0.35
8,600,0,9,Joint-BMA,0.35
8,600,0,9,Geom-BMA,0.35
8,600,1,8,Joint-BMA,0.35
8,600,1,8,Geom-BMA,0.35
8,600,1,9,Joint-BMA,0.35
8,600,1,9,Geom-BMA,0.35
8,600,1,10,Joint-BMA,0.35
10,240,0,2,Geom-BMA,0.2
10,240,0,3,Geom-BMA,0.2
10,240,0,5,Geom-BMA,0.20000000000000004
10,240,0,8,Geom-BMA,0.19999999999999998
10,240,0,9,Joint-BMA,0.2
10,240,0,9,Geom-BMA,0.2
10,240,0,10,Joint-BMA,0.2
10,240,0,10,Geom-BMA,0.2
10,240,0,11,Joint-BMA,0.2
10,240,0,11,Geom-BMA,0.2
10,240,0,12,Joint-BMA,0.2
10,240,0,12,Geom-BMA,0.2
10,240,1,2,Geom-BMA,0.2
10,240,1,3,Geom-BMA,0.2
10,240,1,4,Geom-BMA,0.2
10,240,1,5,Geom-BMA,0.2
10,240,1,6,Joint-BMA,0.19999999999999998
10,240,1,6,Geom-BMA,0.2
10,240,1,7,Joint-BMA,0.19999999999999998
10,240,1,7,Geom-BMA,0.2
10,240,1,8,Joint-BMA,0.2
10,240,1,8,Geom-BMA,0.19999999999999998
10,240,1,9,Joint-BMA,0.2
10,240,1,9,Geom-BMA,0.2
10,240,1,10,Joint-BMA,0.2
10,240,1,10,Geom-BMA,0.2
10,240,1,11,Joint-BMA,0.19999999999999998
10,240,1,11,Geom-BMA,0.2
10,240,1,12,Joint-BMA,0.19999999999999998
10,300,0,6,Geom-BMA,0.2
10,300,0,7,Geom-BMA,0.2
10,300,0,8,Joint-BMA,0.2
10,300,0,8,Geom-BMA,0.21422960395362325
10,300,0,9,Joint-BMA,0.22773169641564817
10,300,0,9,Geom-BMA,0.22773169641564814
10,300,0,10,Joint-BMA,0.22614586604861234
10,300,0,10,Geom-BMA,0.22614586604861234
10,300,0,11,Joint-BMA,0.21980675216998236
10,300,0,11,Geom-BMA,0.21980675216998236
10,300,0,12,Joint-BMA,0.2115009575065126
10,300,0,12,Geom-BMA,0.2
10,300,1,2,Geom-BMA,0.2
10,300,1,3,Geom-BMA,0.2
10,300,1,4,Geom-BMA,0.2
10,300,1,5,Geom-BMA,0.2
10,300,1,6,Joint-BMA,0.2
10,300,1,6,Geom-BMA,0.2
10,300,1,7,Geom-BMA,0.2
10,300,1,8,Geom-BMA,0.20000000000000004
10,300,1,9,Geom-BMA,0.2
10,300,1,10,Joint-BMA,0.2
10,300,1,10,Geom-BMA,0.2
10,300,1,11,Joint-BMA,0.20689406651632455
10,300,1,11,Geom-BMA,0.2
10,300,1,12,Joint-BMA,0.20268806647000298
10,300,1,12,Geom-BMA,0.2
10,360,0,8,Geom-BMA,0.2
10,360,0,9,Joint-BMA,0.2
10,360,0,9,Geom-BMA,0.20000000000000004
10,360,0,10,Joint-BMA,0.19999999999999998
10,360,0,10,Geom-BMA,0.2
10,360,0,11,Joint-BMA,0.2
10,360,0,11,Geom-BMA,0.2
10,360,0,12,Joint-BMA,0.2
10,360,0,12,Geom-BMA,0.20000000000000004
10,360,1,6,Joint-BMA,0.2
10,360,1,6,Geom-BMA,0.2
10,360,1,7,Joint-BMA,0.2
10,360,1,7,Geom-BMA,0.20316261993059323
10,360,1,8,Joint-BMA,0.20000000000000004
10,360,1,8,Geom-BMA,0.2
10,360,1,9,Joint-BMA,0.2
10,360,1,9,Geom-BMA,0.2
10,360,1,10,Joint-BMA,0.2
10,360,1,10,Geom-BMA,0.2
10,360,1,11,Joint-BMA,0.2
10,360,1,12,Joint-BMA,0.2
10,480,0,8,Joint-BMA,0.35
10,480,0,8,Geom-BMA,0.33534226680812057
10,480,0,9,Joint-BMA,0.35
10,480,0,9,Geom-BMA,0.33760442360242177
10,480,0,10,Joint-BMA,0.3340686816528764
10,480,0,10,Geom-BMA,0.3340686816528764
10,480,0,11,Joint-BMA,0.3158102551954824
10,480,0,11,Geom-BMA,0.3158102551954824
10,480,0,12,Joint-BMA,0.25893164464914264
10,480,0,12,Geom-BMA,0.2
10,480,1,8,Joint-BMA,0.35
10,480,1,8,Geom-BMA,0.3339474182445652
10,480,1,9,Joint-BMA,0.3183765811590211
10,480,1,9,Geom-BMA,0.3183765811590211
10,480,1,10,Joint-BMA,0.2953052253725719
10,480,1,10,Geom-BMA,0.2953052253725719
10,480,1,11,Joint-BMA,0.26016513056214696
10,480,1,11,Geom-BMA,0.26016513056214696
10,480,1,12,Joint-BMA,0.24674882369070897
10,480,1,12,Geom-BMA,0.2
10,600,0,8,Geom-BMA,0.35
10,600,0,9,Joint-BMA,0.35
10,600,0,9,Geom-BMA,0.35
10,600,0,10,Joint-BMA,0.35
10,600,0,10,Geom-BMA,0.35
10,600,0,11,Joint-BMA,0.35
10,600,0,11,Geom-BMA,0.35
10,600,0,12,Joint-BMA,0.35
10,600,0,12,Geom-BMA,0.35
10,600,1,9,Geom-BMA,0.35
10,600,1,10,Joint-BMA,0.35
10,600,1,10,Geom-BMA,0.35
10,600,1,11,Joint-BMA,0.35
10,600,1,11,Geom-BMA,0.35
10,600,1,12,Joint-BMA,0.35
10,600,1,12,Geom-BMA,0.35
