True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Geom Mean MSE Ratio,5th Percentile,95th Percentile
8,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.0,0.5284,0.98,0.1469,4.8627
8,96,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5284,0.8573,0.1874,4.9418
8,144,AIC,19.0,5.04,N/A,0.9083,0.1509,5.8654
8,144,AICc,0.0,1.0,N/A,0.918,0.1224,6.5745
8,144,SIC (BIC),0.0,1.51,N/A,0.92,0.145,6.6225
8,144,HQC,0.0,1.96,N/A,0.8687,0.1478,6.7014
8,144,OLS BMA (BIC-W),N/A,12.0,N/A,0.9848,0.1531,5.6729
8,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,60.8694,19.2195,235.8103
8,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.7454,0.2865,12.6025
8,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.0477,0.1215,8.9049
8,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.1197,0.188,9.4099
8,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.51,N/A,1.1676,0.1845,6.8437
8,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.0181,0.1796,9.1697
8,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.01,0.4902,1.0156,0.1055,7.0728
8,144,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.4902,1.0106,0.1322,7.293
8,240,AIC,40.0,6.01,N/A,0.9855,0.1381,6.0254
8,240,AICc,0.0,1.0,N/A,1.03,0.0882,8.0185
8,240,SIC (BIC),0.0,1.98,N/A,0.9426,0.0891,7.4182
8,240,HQC,0.0,2.04,N/A,0.9684,0.0891,7.4182
8,240,OLS BMA (BIC-W),N/A,12.0,N/A,0.9364,0.1173,7.4623
8,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,20.1756,6.4967,95.1165
8,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.0474,0.1325,10.7561
8,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.9306,0.1013,6.8824
8,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.0026,0.1114,8.0149
8,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.98,N/A,0.9534,0.1156,10.0816
8,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.1155,0.1569,8.853
8,240,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.11,0.5122,0.942,0.1169,9.0098
8,240,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5122,0.9151,0.1665,9.9321
8,480,AIC,99.0,8.01,N/A,0.9994,1.0,1.0
8,480,AICc,0.0,1.0,N/A,1.2179,0.0673,13.9791
8,480,SIC (BIC),0.0,2.0,N/A,1.3071,0.0989,14.7273
8,480,HQC,3.0,2.68,N/A,1.1221,0.0744,14.7411
8,480,OLS BMA (BIC-W),N/A,12.0,N/A,0.9849,0.0736,15.167
8,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,8.2436,1.7104,57.6077
8,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.0113,0.0666,16.82
8,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.9251,0.0691,13.961
8,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.9341,0.0724,15.2795
8,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.0,N/A,1.328,0.0739,20.4969
8,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.0694,0.081,12.6667
8,480,"SOTA-BVAR (MDD p, Opt tau)",0.0,2.0,1.1282,1.1264,0.0709,16.6035
8,480,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,1.1282,0.9801,0.0743,14.7779
10,96,AIC,3.0,11.47,N/A,1.2831,0.3441,5.0847
10,96,AICc,0.0,1.0,N/A,0.855,0.1161,3.4122
10,96,SIC (BIC),0.0,1.2,N/A,0.8293,0.1175,3.218
10,96,HQC,0.0,2.66,N/A,0.7999,0.1256,3.5774
10,96,OLS BMA (BIC-W),N/A,12.0,N/A,0.8391,0.2149,3.5443
10,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,158.2771,54.1249,507.721
10,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,3.384,0.9266,13.5763
10,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.4164,0.3515,6.787
10,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.4472,0.3659,5.8041
10,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.2,N/A,1.2722,0.236,5.7491
10,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.2759,0.2515,6.2538
10,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.02,0.5523,0.7872,0.1356,3.7145
10,96,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5523,0.7818,0.1319,3.9228
10,144,AIC,6.0,4.86,N/A,0.8046,0.134,4.9154
10,144,AICc,0.0,1.0,N/A,0.8256,0.1235,6.0128
10,144,SIC (BIC),0.0,1.55,N/A,0.7304,0.0965,4.5227
10,144,HQC,0.0,2.03,N/A,0.719,0.1039,5.213
10,144,OLS BMA (BIC-W),N/A,12.0,N/A,0.8469,0.1203,4.7257
