True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
8,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,21.377009385148185,7.99386068792725,59.83385163878611
8,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.267160903778028,0.2587693620690888,8.165312255852765
8,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,0.8666176773160799,0.1743720133445421,3.9418996200835092
8,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.257430374920336,0.18008128017611338,7.42453375963889
8,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.9,N/A,0.0,1.1480113952117983,0.20223594114997162,5.705747176743671
8,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.21,N/A,0.0,0.789188542759094,0.1492507439709372,4.524586269893843
8,240,"SOTA-BVAR (MDD p, Opt tau)",2.0,2.2,1.7387,0.0,1.008799611788016,0.18848697372272466,5.285670626573786
8,240,"SOTA-BMA (MDD W, Opt tau)",N/A,2.19,1.7387,0.0,1.0232196904555728,0.10683924350405191,5.882201631630449
8,480,AIC,98.0,8.04,N/A,0.0,1.0107873321936025,0.9999999999999993,1.0
8,480,AICc,0.0,1.0,N/A,0.0,0.9090738594400753,0.18136090667722424,8.800666215691928
8,480,SIC (BIC),0.0,2.0,N/A,0.0,1.040182102281137,0.14240767190597464,8.761928331841034
8,480,HQC,6.0,3.02,N/A,0.0,0.9816223799417866,0.13091585188582786,9.178992235201337
8,480,OLS BMA (BIC-W),N/A,5.89,N/A,0.0,0.5100195033571631,0.05199308811562598,8.38345322815045
8,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,5.411414071071516,1.4880626781981323,31.744288283657106
8,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,0.9995789330480171,0.11446207484937164,9.811551970716017
8,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,0.8083416565412732,0.0847410003129763,10.423203249862866
8,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,0.908627180714108,0.11682177548305187,7.180383001115615
8,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.0,N/A,0.0,0.9541565155555934,0.11979784929400178,11.910349099400323
8,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.89,N/A,0.0,0.9643007891755968,0.1812822782698978,8.471399340656736
8,480,"SOTA-BVAR (MDD p, Opt tau)",48.0,4.98,1.6241,0.0,0.8870024708219642,0.10397486654228892,11.029717646364626
8,480,"SOTA-BMA (MDD W, Opt tau)",N/A,4.95,1.6241,0.0,0.9680592761722523,0.10753952610626479,8.464272452975068
10,96,AIC,0.0,11.0,N/A,2.0,1.2677797940301518,0.4207995811150233,3.215444055727721
10,96,AICc,0.0,1.0,N/A,0.0,0.999463132550165,0.2630749157810235,3.585993729102322
10,96,SIC (BIC),0.0,1.22,N/A,0.0,0.9714116043620108,0.23745484791804697,3.0295843302692926
10,96,HQC,0.0,2.56,N/A,0.0,0.860762589827615,0.21580490584176062,2.917880778712867
10,96,OLS BMA (BIC-W),N/A,4.31,N/A,0.0,0.9474151740401566,0.252947573179243,3.4596220411883642
10,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,152.20512617374848,51.49188874013243,430.19084386453403
10,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,3.7433525488285273,1.14241066830013,13.318318516490285
10,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.540720404944147,0.3374820166879914,4.873665353182585
10,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.5971350297427003,0.4869480613623496,5.02878900415564
10,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.22,N/A,0.0,0.6676627443186813,0.10890222853738753,3.653742633477302
10,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.31,N/A,0.0,0.8698776434350078,0.16231320405863192,3.9339220447759367
10,96,"SOTA-BVAR (MDD p, Opt tau)",2.0,2.68,1.2902,0.0,0.7139564438141698,0.15489622543536002,3.230748872219117
10,96,"SOTA-BMA (MDD W, Opt tau)",N/A,2.92,1.2902,0.0,0.8173042141147253,0.13544223077748593,3.487437111975561
10,144,AIC,8.0,5.1,N/A,0.0,0.9917964399470708,0.18725981020051596,4.250810594841164
