p0,T,Iter,p,Estimator,Expected_Tau
4,360,41,5,Joint-BMA,0.2
4,360,41,5,Geom-BMA,0.2
4,360,41,6,Joint-BMA,0.19999999999999998
4,360,42,3,Joint-BMA,0.2
4,360,42,3,Geom-BMA,0.2
4,360,42,4,Joint-BMA,0.2
4,360,42,4,Geom-BMA,0.2
4,360,42,5,Joint-BMA,0.2
4,360,42,5,Geom-BMA,0.2
4,360,42,6,Joint-BMA,0.2
4,360,42,6,Geom-BMA,0.2
4,360,42,7,Joint-BMA,0.2
4,360,42,8,Joint-BMA,0.2
4,360,42,9,Joint-BMA,0.2
4,360,42,10,Joint-BMA,0.19999999999999998
4,360,43,2,Joint-BMA,0.2
4,360,43,2,Geom-BMA,0.19999999999999998
4,360,43,3,Joint-BMA,0.19999999999999998
4,360,43,3,Geom-BMA,0.2
4,360,43,4,Joint-BMA,0.2
4,360,43,4,Geom-BMA,0.2
4,360,44,2,Joint-BMA,0.2
4,360,44,2,Geom-BMA,0.2
4,360,44,3,Joint-BMA,0.19999999999999998
4,360,44,3,Geom-BMA,0.2
4,360,44,4,Joint-BMA,0.2
4,360,44,4,Geom-BMA,0.2
4,360,44,5,Joint-BMA,0.2
4,360,44,5,Geom-BMA,0.2
4,360,45,3,Joint-BMA,0.2
4,360,45,3,Geom-BMA,0.2
4,360,45,4,Joint-BMA,0.20000000000000004
4,360,45,4,Geom-BMA,0.2
4,360,45,5,Joint-BMA,0.2
4,360,45,5,Geom-BMA,0.20000000000000004
4,360,45,6,Joint-BMA,0.2
4,360,45,6,Geom-BMA,0.2
4,360,45,7,Joint-BMA,0.2
4,360,45,7,Geom-BMA,0.2
4,360,45,8,Joint-BMA,0.2
4,360,45,9,Joint-BMA,0.2
4,360,45,10,Joint-BMA,0.2
4,360,46,2,Joint-BMA,0.2
4,360,46,2,Geom-BMA,0.2
4,360,46,3,Joint-BMA,0.20000000000000004
4,360,46,3,Geom-BMA,0.2
4,360,46,4,Joint-BMA,0.2
4,360,46,4,Geom-BMA,0.2
4,360,46,5,Joint-BMA,0.2
4,360,46,5,Geom-BMA,0.2
4,360,46,6,Joint-BMA,0.2
4,360,46,6,Geom-BMA,0.2
4,360,46,7,Joint-BMA,0.2
4,360,46,8,Joint-BMA,0.20000000000000004
4,360,47,2,Joint-BMA,0.2
4,360,47,2,Geom-BMA,0.2
4,360,47,3,Joint-BMA,0.2
4,360,47,3,Geom-BMA,0.2
4,360,47,4,Joint-BMA,0.2
4,360,47,4,Geom-BMA,0.20000000000000004
4,360,47,5,Joint-BMA,0.2
4,360,47,6,Joint-BMA,0.2
4,360,48,2,Geom-BMA,0.2
4,360,48,3,Joint-BMA,0.2
4,360,48,3,Geom-BMA,0.2
4,360,48,4,Joint-BMA,0.2
4,360,48,4,Geom-BMA,0.2
4,360,48,5,Joint-BMA,0.2
4,360,48,5,Geom-BMA,0.20000000000000004
4,360,48,6,Joint-BMA,0.2
4,360,48,6,Geom-BMA,0.2
4,360,48,7,Joint-BMA,0.2
4,360,49,4,Geom-BMA,0.19999999999999998
4,360,49,5,Joint-BMA,0.2
4,360,49,5,Geom-BMA,0.2
4,360,49,6,Joint-BMA,0.2
4,360,49,6,Geom-BMA,0.2
4,360,49,7,Joint-BMA,0.2
4,360,49,7,Geom-BMA,0.19999999999999998
4,360,49,8,Joint-BMA,0.2
4,360,49,8,Geom-BMA,0.2
4,360,49,9,Joint-BMA,0.19999999999999998
4,360,49,9,Geom-BMA,0.2
4,360,49,10,Joint-BMA,0.2
4,360,49,11,Joint-BMA,0.2
4,360,49,12,Joint-BMA,0.20000000000000004
4,360,50,3,Joint-BMA,0.2
4,360,50,3,Geom-BMA,0.2
4,360,50,4,Joint-BMA,0.2
4,360,50,4,Geom-BMA,0.2
4,360,50,5,Joint-BMA,0.2
4,360,50,5,Geom-BMA,0.2
4,360,50,6,Joint-BMA,0.2
4,360,50,6,Geom-BMA,0.20000000000000004
4,360,51,2,Joint-BMA,0.19999999999999998
4,360,51,2,Geom-BMA,0.2
4,360,51,3,Joint-BMA,0.2
4,360,51,3,Geom-BMA,0.2
4,360,51,4,Joint-BMA,0.2
4,360,51,4,Geom-BMA,0.2
4,360,51,5,Joint-BMA,0.2
4,360,51,5,Geom-BMA,0.20000000000000004
4,360,51,6,Joint-BMA,0.2
4,360,51,6,Geom-BMA,0.2
4,360,51,7,Joint-BMA,0.20000000000000004
4,360,51,8,Joint-BMA,0.2
4,360,51,9,Joint-BMA,0.2
4,360,51,10,Joint-BMA,0.2
4,360,52,3,Joint-BMA,0.2
4,360,52,3,Geom-BMA,0.20000000000000004
4,360,52,4,Joint-BMA,0.2
4,360,52,4,Geom-BMA,0.19999999999999998
4,360,52,5,Joint-BMA,0.2
4,360,52,5,Geom-BMA,0.2
4,360,52,6,Joint-BMA,0.2
4,360,53,2,Joint-BMA,0.20000000000000004
4,360,53,2,Geom-BMA,0.2
4,360,53,3,Joint-BMA,0.2
4,360,53,3,Geom-BMA,0.2
4,360,53,4,Joint-BMA,0.2
4,360,53,4,Geom-BMA,0.2
4,360,53,5,Joint-BMA,0.2
4,360,53,5,Geom-BMA,0.2
4,360,53,6,Joint-BMA,0.2
4,360,53,7,Joint-BMA,0.2
4,360,54,2,Joint-BMA,0.2
4,360,54,2,Geom-BMA,0.2
4,360,54,3,Joint-BMA,0.2
4,360,54,3,Geom-BMA,0.2
4,360,54,4,Joint-BMA,0.19999999999999998
4,360,54,4,Geom-BMA,0.2
4,360,54,5,Joint-BMA,0.2
4,360,54,5,Geom-BMA,0.2
4,360,54,6,Joint-BMA,0.2
4,360,55,3,Geom-BMA,0.20000000000000004
4,360,55,4,Joint-BMA,0.2
4,360,55,4,Geom-BMA,0.2
4,360,55,5,Joint-BMA,0.2
4,360,55,5,Geom-BMA,0.2
4,360,55,6,Joint-BMA,0.2
4,360,55,6,Geom-BMA,0.2
4,360,55,7,Joint-BMA,0.2
4,360,55,7,Geom-BMA,0.2
4,360,55,8,Joint-BMA,0.2
4,360,55,10,Joint-BMA,0.2
4,360,55,11,Joint-BMA,0.2
4,360,56,3,Geom-BMA,0.2
4,360,56,4,Joint-BMA,0.19999999999999998
4,360,56,4,Geom-BMA,0.2
4,360,56,5,Joint-BMA,0.19999999999999998
4,360,56,5,Geom-BMA,0.2
4,360,56,6,Joint-BMA,0.2
4,360,56,6,Geom-BMA,0.2
4,360,56,7,Joint-BMA,0.2
4,360,56,7,Geom-BMA,0.2
4,360,56,8,Joint-BMA,0.2
4,360,56,8,Geom-BMA,0.19999999999999998
4,360,56,9,Joint-BMA,0.2
4,360,56,9,Geom-BMA,0.20000000000000004
4,360,56,10,Joint-BMA,0.20000000000000004
4,360,56,10,Geom-BMA,0.2
4,360,56,11,Joint-BMA,0.2
4,360,56,11,Geom-BMA,0.2
4,360,56,12,Joint-BMA,0.19999999999999998
4,360,57,2,Joint-BMA,0.2
4,360,57,2,Geom-BMA,0.2
4,360,57,3,Joint-BMA,0.2
4,360,57,3,Geom-BMA,0.2
4,360,57,4,Joint-BMA,0.2
4,360,57,4,Geom-BMA,0.19999999999999998
4,360,57,5,Joint-BMA,0.2
4,360,57,5,Geom-BMA,0.2
4,360,57,6,Joint-BMA,0.2
4,360,58,2,Joint-BMA,0.2
4,360,58,2,Geom-BMA,0.2
4,360,58,3,Joint-BMA,0.2
4,360,58,3,Geom-BMA,0.2
4,360,58,4,Joint-BMA,0.2
4,360,58,4,Geom-BMA,0.2
